correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
2,1,6,3,"The generated answer is mostly incorrect, incomplete, and fails to address the actual reason for the lack of nutrition facts on alcoholic beverages, which is due to different governmental agency regulations.",Why doesn't beer (or any alcoholic beverage) have to have nutrition facts printed on it?,"Hey there, little buddy! So, you know how we drink beer to have fun and relax? Well, there's a reason why the labels on ",10216
2,2,6,3,"The generated answer contains several factual inaccuracies and hallucinations, such as predators having a special trick to wait for fish to swim away, and having a superpower called memory to catch prey, which deviates from the reference answer's explanation of curated aquariums with well-fed and mutually compatible species.",How come in aquariums the predators don’t gobble up the prey? Are they trained not to do so?,"Hey there, little buddy! Do you know how some animals live in the ocean, and some live in the desert? Well, some animals",11568
2,1,8,3,"The generated answer lacks factual accuracy and completeness, failing to address the reference's points about news agencies catering to societal interests and biases, despite using simple language and analogies.","What is the reason for news headlines that say ""N people died in the [traumatic event], including M women and children.""",I remember when my mom was talking about the big storm that hit our town. She said that many people lost their homes and,29740
2,2,8,4,"The generated answer lacks factual accuracy and completeness, but uses simple language and good analogies to explain the concept in an ELI5 manner.","How are modern radios able to display the track, artist, station, and other info from just radio waves?","Imagine you're at a big music festival with all your favorite bands. You're standing right next to the stage, and you ca",18831
2,1,6,3,"The generated answer lacks factual accuracy and completeness in explaining how linear algebra is involved in Google's search algorithm, but attempts to use simple analogies to explain complex concepts.",How linear algebra is involved in things like google's search algorithm?,"Imagine you have a big box of crayons. Each crayon represents a single piece of information, like a word or a picture. N",21644
6,4,8,6,"The generated answer uses simple and engaging analogies, but lacks factual accuracy and completeness in explaining the concept of time, relying heavily on vague notions of time as a 'helper' or 'magic helper'.",How does time exist? How is it not just a construct of humans and their need to measure their existence?,"Imagine you have a big jar of cookies. You can see the cookies, you can count them, and you can even reach in and grab o",24777
2,2,8,4,"The generated answer lacks factual accuracy and completeness, but uses simple language and good analogies to explain the concept in an ELI5 manner.",How do you go about opening/starting a school,"Imagine you're playing with your favorite toy, and it's not working like it should. You need to figure out what's wrong ",11608
2,2,8,4,"The generated answer lacks factual accuracy and completeness, introducing incorrect concepts like neurotransmitters flying out of the brain, but uses simple language and analogies to explain the phenomenon in an ELI5 style.",why do you always get a distinct feeling/smell/ thing when you get struck in the nose or face?,"Hey there, little buddy! Do you know why sometimes you might feel a weird tingling sensation or smell something weird wh",1546
2,2,8,3,"The generated answer is incorrect and incomplete because it fails to address the legal aspect and instead provides a misleading and fictional scenario, but it does use simple language and analogies to explain a related concept.",Why are people in the US allowed to open credit cards under their children's names?,"Imagine you have a big box full of toys, and inside that box, there are lots of toys that your mom or dad wants to buy f",28007
2,1,6,2,"The generated answer lacks factual accuracy, fails to cover key points from the reference, and provides a confusing analogy that does not effectively explain the difference in packaging between the USA and Mexico.",why does the USA sell plastic bottles of Coke and Pepsi. But my local Mexican market sells it in glass?,Imagine you're at a big party with all your friends. You're playing a game of tag. You need a drink to play the game. Yo,21065
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but has some minor inaccuracies and overly simplistic explanations that prevent it from being perfect.",How airplane jet engines work,"Imagine you have a really, really strong fan that blows air really, really fast. You put a toy car on a track, and it go",28407
2,2,8,4,"The generated answer lacks factual accuracy and completeness, but uses simple language and a clear analogy, making it somewhat easy to understand for a novice, although it fails to convey the actual concept of turbo-boosting.","How does a computer processor ""turbo-boost""?","Imagine you have a toy car that can go really, really fast. It's like a super speedy train! The computer processor is li",1672
8,6,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks detail on lawsuits and plaintiffs, and slightly oversimplifies the government's use of funds.","When big corporations, or any business or institution, get fined for millions, or even billions, of dollars, where does ",Imagine you have a lemonade stand. You make yummy lemonade and sell it to people walking by. You use a special cup and a,21751
4,2,8,5,"The generated answer lacks factual accuracy and completeness, but uses simple language and analogies to explain the concept, although it introduces incorrect ideas about the pen's 'glue' and the purpose of the holes in the cap.",why do pens dry out if you leave the cap off even though most caps have holes in the top?,"Pens are like toys that help us write and draw. When you write or draw, you need something to make the writing or drawin",12405
6,4,8,6,The generated answer uses simple language and a relatable analogy but lacks factual accuracy and completeness in covering key points from the reference answer.,Why are the ~5 million non-Jewish people exterminated by the Nazis often not considered part of The Holocaust and why do,"Imagine you have a big box of crayons. Each crayon represents a person, and the colors on the crayon represent their eth",18766
8,6,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks information about the naming of Uranus, Neptune, and the moons of the planets, which are mentioned in the reference answer.",Why are the planets named after Roman Pagan gods?,"Hey there, little buddy! Do you know why the planets in our solar system are named after Roman Pagan gods? Well, let me ",1684
2,2,6,3,"The generated answer lacks factual accuracy and completeness, failing to mention ultraviolet and infrared light, while using unrelated and confusing analogies, such as a cat playing with a ball.","When you look at someone welding, it hurts your eyes. Why is it that when you look at a video of someone welding, it doe","Hey there, little buddy! Do you know what happens when you look at a video of someone welding? It's like watching a real",3210
2,2,8,4,"The generated answer lacks factual accuracy and completeness, but uses simple language and attempts to provide a clear explanation, although it fails to address the actual reason for the discrepancy between smell and taste.",Why do certain foods (i.e. vanilla extract) smell so sweet yet taste so bitter even though our smell and taste senses ar,"Hey there, little buddy! Do you know how sometimes you smell something yummy, like cookies or ice cream, and then you ta",12747
2,2,8,3,"The generated answer lacks factual accuracy and fails to cover key points from the reference, but it attempts to use simple analogies to explain the concept of fake news.",Why has there been so much more 'fake news' lately?,"Imagine you have a big box of crayons. Each crayon has a special color that you like. Now, imagine that some of the cray",28879
6,4,8,6,"The generated answer uses a simple and relatable analogy, but lacks key points from the reference answer, such as the ethical considerations and the concept of changed responsibility over time.",Why is there a statute of limitations?,Imagine you have a lemonade stand. You make a big pitcher of lemonade and sell it to people walking by. You do this ever,11968
2,2,8,3,"The generated answer lacks factual accuracy and completeness, failing to mention retroviruses and their beneficial effects, but uses simple language and analogies to explain the concept of diseases and immune systems.",Why do diseases only do bad things to us? Why are there no diseases/viruses that are actually GOOD for us?,"I'm going to tell you a secret about diseases. You know how sometimes you get a boo-boo on your knee and it hurts? Well,",15928
6,4,8,6,"The generated answer uses a simple and clear analogy, but lacks factual accuracy and completeness in addressing the reference answer's points about the world's capacity to sustain a larger population and the issue of distribution.",Why do most world leaders appear unconcerned with world population increase? It seems like a potentially civilization en,Imagine you have a big box of crayons. You can only use a certain number of crayons for different projects. If you have ,11403
6,4,8,6,"The generated answer uses a simple and engaging robot analogy to explain the concept, but lacks factual accuracy and completeness in covering key points from the reference answer, such as the actual effects of calorie reduction on metabolism and muscle mass.","When we eat take in a substantially low number of calories in a day, our bodies go into ""starvation mode"", which causes ","Imagine you have a super cool, super strong robot that can run, jump, and play all day long. This robot is like a human ",21088
2,4,6,3,"The generated answer lacks factual accuracy, contains hallucinations, and fails to clearly explain the relationship between hydration, urine clarity, and alcohol consumption, despite using simple language and analogies.","Why is it that when you drink water your pee become clear and thats a sign that you're hydrated, but when you drink beer","Oh boy, let's talk about pee! So, you know how sometimes you drink water and your pee is clear? That's because your body",4195
6,4,8,6,"The generated answer is engaging and easy to understand, but lacks key points from the reference, such as the challenges with generating and detecting terahertz radiation, and includes some vague or inaccurate statements about its applications.",How does Terahertz Radiation work?,Imagine you have a superpower that lets you see invisible pictures of the world around you. You can see things that are ,17350
2,1,8,3,"The generated answer lacks factual accuracy and completeness, but attempts to use a simple analogy to explain the concept, although it fails to address the actual question about the disappearance of human evidence.","If all humans disappeared tomorrow, how long would it take before all evidence of the human race disappeared from the su","Imagine you have a big box of crayons. Each crayon represents one human. If all humans disappeared tomorrow, you would s",25548
8,4,9,7,"The generated answer is simple and easy to understand, but it lacks key points from the reference, such as the concept of tribalism and the psychological rewards of treating others poorly.",Why can't everyone be nice to each other?,"Imagine you have a big box of crayons. You want to share them with your friends. But, you're not sure if they want to sh",8206
