correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
6,4,8,6,"The generated answer uses creative and engaging storytelling to explain a priori and a posteriori, but lacks direct factual accuracy and completeness in covering key points from the reference answer.",A priori and a posteriori with easy examples,"Once upon a time, there was a little bunny who loved to hop! He saw a big, fluffy cloud in the sky and thought, ""Wow, th",8816
2,2,8,4,"The generated answer lacks factual accuracy and completeness, failing to mention the Cold War and McCarthy's influence, but uses simple language and analogies to explain the concept of religious freedom in a way that is clear for a novice.","How America became a 'Christian' nation, when the founding fathers tried so hard to stop this from happening?","Once upon a time, in a land far away called America, people were very happy to be free. They had a special kind of freed",29068
2,1,8,4,"The generated answer is creative and simple, but lacks factual accuracy and completeness, introducing hallucinations like the 'beak' and 'ping' sound, which are not present in the reference answer.",What does the little ball inside a whistle do?,"Once upon a time, there was a tiny little ball. It was so small, you could barely see it! This ball was very special bec",2906
2,1,8,3,"The generated answer is creative and simple to understand, but it completely misses the factual accuracy and key points of the reference answer, which is about color printing and cartridge replacement, not about identifying cookie types.",The different coloured circles on carton boxes or packaged snacks,"Once upon a time, there were lots of yummy cookies in a big, colorful box.  Now, these cookies weren't just any cookies.",4985
2,1,8,3,"The generated answer uses a simple and engaging analogy but fails to provide factually accurate information about why alcoholic beverages do not require nutrition facts, instead relying on an incorrect comparison to cookies and treats.",Why doesn't beer (or any alcoholic beverage) have to have nutrition facts printed on it?,"Once upon a time, there was a big, yummy cookie. It had lots of yummy chocolate chips and was super sweet. But, even tho",10216
6,4,8,6,"The generated answer uses a simple and engaging story to explain the concept, but lacks factual accuracy and completeness in covering key points from the reference answer.",How come in aquariums the predators don’t gobble up the prey? Are they trained not to do so?,"Once upon a time, there was a big, beautiful aquarium full of all sorts of awesome fish! There was a big, scary shark, a",11568
2,1,6,3,"The generated answer lacks factual accuracy and completeness, failing to address the actual reason behind news headlines, but attempts to explain the concept in a simple manner using analogies.","What is the reason for news headlines that say ""N people died in the [traumatic event], including M women and children.""","Once upon a time, there was a big storm that swept through a town.  The storm was really scary because it had strong win",29740
2,2,8,4,"The generated answer lacks factual accuracy and completeness, relying heavily on imaginative analogies rather than explaining the actual system used for encoding data in radio signals.","How are modern radios able to display the track, artist, station, and other info from just radio waves?","Once upon a time, there were magical radio waves. They were like tiny little whispers, zipping through the air!  They ca",18831
2,2,8,4,"The generated answer lacks factual accuracy and completeness in explaining how linear algebra is involved in Google's search algorithm, but it does provide a simple and engaging analogy for a novice audience.",How linear algebra is involved in things like google's search algorithm?,"Once upon a time, there was a magical toy box that could find any toy you wanted! It had a special rule: if you wanted a",21644
6,4,8,6,"The generated answer uses engaging and simple analogies but lacks factual accuracy and completeness in explaining the concept of time, particularly in addressing how time is not just a human construct.",How does time exist? How is it not just a construct of humans and their need to measure their existence?,"Once upon a time, there was a big, bouncy ball.  This ball was so big, it could fit the whole world inside it!  But the ",24777
2,1,8,3,"The generated answer is creative and simple, but lacks factual accuracy and completeness, failing to address key points such as legal requirements, funding, and accreditation.",How do you go about opening/starting a school,"Once upon a time, in a land far away, there was a little village where everyone lived in tiny houses.  They had no schoo",11608
2,1,6,3,"The generated answer lacks factual accuracy, fails to cover key points from the reference, and provides an unrelated anecdote, but attempts to use simple language and analogies.",why do you always get a distinct feeling/smell/ thing when you get struck in the nose or face?,"Once upon a time, there was a little girl named Lily who loved to play outside. She loved to run, jump, and climb, and s",1546
2,1,8,3,"The generated answer is incorrect and incomplete because it describes a scenario that is not legally allowed in the US, where people can open credit cards under their children's names with their consent, whereas the reference answer clearly states that this is identity theft.",Why are people in the US allowed to open credit cards under their children's names?,"Once upon a time, in a land called the United States, there were grown-ups who wanted to buy things, but didn't have eno",28007
2,2,6,3,"The generated answer lacks factual accuracy and completeness, but attempts to use simple language and analogies, although it fails to effectively convey the key points from the reference answer.",why does the USA sell plastic bottles of Coke and Pepsi. But my local Mexican market sells it in glass?,"""You know how sometimes you have a yummy ice cream cone, and then you want to eat the cone again? But the cone is gone! ",21065
2,2,6,3,"The generated answer lacks factual accuracy and completeness in describing how airplane jet engines work, relying heavily on analogies and storytelling that, while simple and engaging, fail to directly address the core principles of jet engine operation.",How airplane jet engines work,"Once upon a time, there were two little birds, one named Bolt and the other named Flutter. They were best friends, and t",28407
4,2,8,5,"The generated answer uses a simple and engaging analogy but lacks factual accuracy and completeness in explaining the technical aspects of turbo-boosting, such as heat management and clock speed adjustment.","How does a computer processor ""turbo-boost""?","Once upon a time, there was a little computer, just like you! It was a tiny little friend, with a special brain called a",1672
6,4,8,6,"The generated answer uses engaging storytelling and simple language, but lacks factual accuracy and completeness in explaining where the fines go, particularly in the context of government bureaucracy fines.","When big corporations, or any business or institution, get fined for millions, or even billions, of dollars, where does ","Once upon a time, there was a big, mean monster called a ""corporation."" This monster was so big, it had lots of toys and",21751
6,4,8,6,"The generated answer is creative and easy to understand, but lacks factual accuracy and completeness regarding the design of pen caps and their role in preventing drying out.",why do pens dry out if you leave the cap off even though most caps have holes in the top?,"Once upon a time, there was a magical pen named Percy. Percy loved to write all sorts of stories and drawings. He had a ",12405
6,4,8,6,"The generated answer simplifies the explanation and uses analogies suitable for a novice, but lacks factual accuracy and completeness in covering key points from the reference answer.",Why are the ~5 million non-Jewish people exterminated by the Nazis often not considered part of The Holocaust and why do,"Once upon a time, there was a big, bad bully named Adolf Hitler. He didn't like people who were different from him, espe",18766
4,2,8,4,"The generated answer is creative and easy to understand, but it lacks factual accuracy and completeness, introducing incorrect names like 'Sol' and 'Luna' for planets and failing to mention the Roman origin of the names and the naming pattern for moons.",Why are the planets named after Roman Pagan gods?,"Once upon a time, way back when people were learning about the stars, they saw that the stars were moving around in a bi",1684
2,2,8,4,"The generated answer lacks factual accuracy and completeness, failing to mention ultraviolet and infrared light, but uses simple language and good analogies to explain the concept in an ELI5 manner.","When you look at someone welding, it hurts your eyes. Why is it that when you look at a video of someone welding, it doe","Once upon a time, there was a little firefly named Flicker. Flicker loved to play hide-and-seek in the tall grass. He wa",3210
6,4,8,6,"The generated answer, while engaging and simple, introduces incorrect assumptions about vanilla smelling sweet and lacks a clear explanation of the brain's role in associating smells with tastes, as presented in the reference answer.",Why do certain foods (i.e. vanilla extract) smell so sweet yet taste so bitter even though our smell and taste senses ar,"Once upon a time, there was a little girl named Lily who loved to bake. She was so good at it, everyone said she was a b",12747
2,1,8,3,"The generated answer lacks factual accuracy and completeness, but uses simple language and engaging analogies, making it somewhat suitable for a novice audience.",Why has there been so much more 'fake news' lately?,"Once upon a time, there was a magical land called the Internet. It was a place where everyone could share stories, pictu",28879
6,4,8,6,"The generated answer uses a simple and relatable analogy of a playground to explain the concept of a statute of limitations, but lacks completeness in covering key points from the reference answer, such as the ethical reasons and the idea of living under constant threat of arrest.",Why is there a statute of limitations?,"Once upon a time, there was a playground. It was a super fun playground with swings, slides, and a sandbox. But sometime",11968
2,2,8,4,"The generated answer lacks factual accuracy and completeness compared to the reference answer, but it uses simple language and good analogies to explain the concept in an ELI5 manner.",Why do diseases only do bad things to us? Why are there no diseases/viruses that are actually GOOD for us?,"Once upon a time, in a land filled with sunshine and yummy treats, lived a tiny little creature called a germ. Germs are",15928
2,2,8,3,"The generated answer lacks factual accuracy and completeness, relying heavily on an overly simplistic and repetitive analogy that fails to address the key points in the reference answer.",Why do most world leaders appear unconcerned with world population increase? It seems like a potentially civilization en,"Once upon a time, there were lots of people living in a big, beautiful garden.  Everyone was happy, and they had lots of",11403
2,2,8,4,"The generated answer is creative and simple, but lacks factual accuracy and completeness, introducing hallucinations and failing to address the reference's key points about metabolism and efficiency.","When we eat take in a substantially low number of calories in a day, our bodies go into ""starvation mode"", which causes ","Once upon a time, there was a little bear named Benny. Benny loved to eat yummy berries and honey. But one day, he found",21088
2,4,8,4,"The generated answer, while creative and simple in language, lacks factual accuracy and completeness in explaining the relationship between hydration, urine clarity, and alcohol consumption.","Why is it that when you drink water your pee become clear and thats a sign that you're hydrated, but when you drink beer","Once upon a time, there was a little boy named Timmy. Timmy loved to play outside. He'd run and jump and play all day lo",4195
2,2,8,4,"The generated answer is creative and engaging, but lacks factual accuracy and completeness, failing to address the challenges and limitations of Terahertz Radiation, such as the Terahertz gap and power-intensive generation and detection.",How does Terahertz Radiation work?,"Once upon a time, there was a magical box called a ""Terahertz Generator."" It was like a super-duper strong flashlight, b",17350
4,2,8,5,"The generated answer uses simple and engaging language, but lacks factual accuracy and completeness in addressing the question about the time it would take for all evidence of the human race to disappear.","If all humans disappeared tomorrow, how long would it take before all evidence of the human race disappeared from the su","Once upon a time, there was a big, bustling city. It had lots of buildings, cars, and people everywhere! The people were",25548
6,4,8,6,The generated answer uses simple language and relatable analogies but lacks factual accuracy and completeness in addressing the reference answer's key points about human tribalism and the psychological rewards of treating others poorly.,Why can't everyone be nice to each other?,"Once upon a time, there were two groups of friends. One group was like a big, happy family – always sharing toys, playin",8206
