correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
9,8,9,9,"The generated answer accurately explains a priori and a posteriori concepts with simple analogies, covering key points from the reference, but slightly lacks in fully addressing the aspect of observation influencing a posteriori knowledge.",A priori and a posteriori with easy examples,Imagine you have a toy box. A priori is like knowing your toys are in the box without looking - you just know because it,8816
6,4,8,6,"The generated answer lacks factual accuracy and completeness in explaining how America became a 'Christian' nation, but it uses simple language and analogies to convey its points, making it somewhat clear for a novice.","How America became a 'Christian' nation, when the founding fathers tried so hard to stop this from happening?","The founding fathers wanted everyone to be free to choose their own religion, like picking what toy you want. But they a",29068
6,4,8,6,"The generated answer is creative and easy to understand, but lacks some key points from the reference answer, such as the purpose of the ball in creating variations in pitch and the comparison to a whistle without a ball.",What does the little ball inside a whistle do?,"The little ball in a whistle is like a tiny dancer. When you blow into the whistle, the ball gets pushed around by the a",2906
2,1,8,4,"The generated answer is creative and simple, but it lacks factual accuracy and fails to address the actual purpose of the colored circles on packaged snacks, which is related to printing and quality control.",The different coloured circles on carton boxes or packaged snacks,"You know how in your toy box, you have different colored blocks? It's the same with snack boxes! The colorful circles he",4985
6,4,8,6,"The generated answer is mostly correct and easy to understand, but lacks completeness and factual accuracy regarding the regulatory aspect of why beer doesn't have nutrition facts printed on it.",Why doesn't beer (or any alcoholic beverage) have to have nutrition facts printed on it?,"Beer is like a special drink that makes you act silly, not give you vitamins. It has so little food stuff in it that it'",10216
6,7,9,7,"The generated answer is mostly correct and easy to understand, but it inaccurately suggests that aquarium staff 'teach' big fish to behave, which is not a standard practice in aquarium management.",How come in aquariums the predators don’t gobble up the prey? Are they trained not to do so?,"In aquariums, the big fish don't always eat the little fish because the humans who take care of them make sure that does",11568
6,4,8,6,"The generated answer is simple and clear, but lacks key points from the reference, such as the role of news agencies as businesses and societal preferences influencing news reporting.","What is the reason for news headlines that say ""N people died in the [traumatic event], including M women and children.""","When news says 'N people died, including M women and children', it's like when you tell a scary story and point out whic",29740
8,6,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks specific details about the system used for encoding data in the signal, such as the reference to a specific system like URL_0_.","How are modern radios able to display the track, artist, station, and other info from just radio waves?","Radio waves are like magic invisible strings that carry music and extra fun facts! Inside the music, there's a tiny whis",18831
8,6,9,7,"The generated answer is mostly correct, complete in spirit but lacks specific details, and excels in simplicity and clarity, making it a good ELI5 explanation despite some loss of technical accuracy.",How linear algebra is involved in things like google's search algorithm?,Google uses a big math game to find the best web pages for you. They think of websites as a big playground with paths be,21644
6,4,8,6,"The generated answer simplifies complex concepts but lacks key points from the reference, such as the relationship between cause and effect, and introduces potentially misleading analogies like the 'big invisible clock'.",How does time exist? How is it not just a construct of humans and their need to measure their existence?,"Time is like a big invisible clock that's always ticking. Einstein, a smart scientist, said that time is a special kind ",24777
4,2,8,5,"The generated answer is simple and uses good analogies, but lacks factual accuracy and completeness, omitting crucial aspects like legal requirements and accreditation.",How do you go about opening/starting a school,"First, you need lots of money to start a school, just like saving up for a big toy. Next, you have to ask the grown-ups ",11608
4,2,8,5,"The generated answer lacks factual accuracy and completeness, but uses simple language and analogies, making it somewhat clear for a novice, although it fails to address the potential seriousness of the injury like the reference answer.",why do you always get a distinct feeling/smell/ thing when you get struck in the nose or face?,"When you get a bump on your nose or face, it can feel funny or smell different. This is because when you get hit, tiny s",1546
2,2,8,3,"The generated answer is incorrect and incomplete because it suggests that parents can legally open credit cards under their children's names, which is a form of identity theft, and fails to convey the key point that this practice is illegal.",Why are people in the US allowed to open credit cards under their children's names?,"In the US, parents can open credit cards for their kids because they're like the big boss of the house. The parent is th",28007
4,2,6,3,"The generated answer lacks key points from the reference, such as the deposit system in Mexico and the economic reasons behind the use of glass bottles, and also introduces inaccurate information about the preference for glass bottles.",why does the USA sell plastic bottles of Coke and Pepsi. But my local Mexican market sells it in glass?,"In the USA, they use plastic bottles for Coke and Pepsi because they can make lots of them in big factories and it's eas",21065
8,7,9,8,"The generated answer is mostly correct, covers key points, and uses simple language and good analogies, but introduces some minor inaccuracies and simplifications, such as the description of afterburners and turbofans.",How airplane jet engines work,"Airplane jet engines are like big blowtorches! First, they pull in lots of air and squeeze it tight. Then, they mix in s",28407
8,6,9,8,"The generated answer is mostly correct, complete in its basic explanation, and of high quality in terms of simplicity and clarity, but lacks specific details about the processor's internal clock and heat management found in the reference answer.","How does a computer processor ""turbo-boost""?",Imagine your computer's processor is like a toy car. Turbo-boost is when you push the car to go really fast for a short ,1672
6,4,8,6,"The generated answer is partially correct and easy to understand, but it lacks completeness and contains some inaccurate generalizations about where the fine money goes.","When big corporations, or any business or institution, get fined for millions, or even billions, of dollars, where does ","When big companies do something wrong, they have to give lots of money to the government. This money goes to help make t",21751
6,4,8,6,"The generated answer is partially correct and provides a good analogy, but it lacks completeness and incorrectly suggests that the small hole in the cap directly contributes to the pen drying out.",why do pens dry out if you leave the cap off even though most caps have holes in the top?,"When you take the cap off, the air and water in the air can get to the ink inside the pen. This is like when you leave a",12405
8,6,9,7,"The generated answer is mostly factually correct, provides a good analogy for a novice, but lacks completeness in covering the historical context and nuances mentioned in the reference answer.",Why are the ~5 million non-Jewish people exterminated by the Nazis often not considered part of The Holocaust and why do,"Imagine a big, scary monster that hurt a lot of people. This monster especially hurt Jewish people, but it also hurt oth",18766
8,6,9,8,"The generated answer is mostly correct, easy to understand, and uses a good analogy, but lacks completeness in covering details like the naming of Uranus, Neptune, and moons of the planets.",Why are the planets named after Roman Pagan gods?,"A long, long time ago, people looked up at the sky and saw these big bright lights. They thought, 'Wow, these must be sp",1684
2,2,8,4,"The generated answer lacks factual accuracy and completeness, failing to mention ultraviolet and infrared light, but uses simple language and analogies to explain the concept in an ELI5 manner.","When you look at someone welding, it hurts your eyes. Why is it that when you look at a video of someone welding, it doe","When you see someone welding, it's like looking at a super bright light. Your eyes get really tired and sometimes even h",3210
6,4,8,6,"The generated answer contains some factual inaccuracies, such as stating vanilla smells sweet due to vanillin, but it does provide a simple and clear explanation that a novice can understand.",Why do certain foods (i.e. vanilla extract) smell so sweet yet taste so bitter even though our smell and taste senses ar,Vanilla smells sweet because it has something called vanillin that makes our nose think it's sweet. But when you put it ,12747
8,6,9,7,"The generated answer effectively uses simple language and analogies to explain the concept of fake news, but lacks completeness in covering the key points from the reference answer, such as the role of ad revenue and political motivations.",Why has there been so much more 'fake news' lately?,Imagine the internet is like a big playground where everyone can share their toys. But some naughty kids share broken to,28879
8,4,9,7,"The generated answer is factually mostly accurate, simple, and clear, but lacks completeness in covering key points from the reference answer, such as the ethical reasons and the concept of punishment over time.",Why is there a statute of limitations?,"Imagine you have a big toy box. If you let toys stay in there for too long, they might break or get lost. A statute of l",11968
2,2,8,4,"The generated answer lacks factual accuracy and completeness, but uses simple language and a clear analogy, although it fails to convey the specific beneficial effects of certain viruses and retroviruses mentioned in the reference answer.",Why do diseases only do bad things to us? Why are there no diseases/viruses that are actually GOOD for us?,Think of diseases like naughty monsters in a story. They want to scare and hurt people to win a game. This is because th,15928
8,6,9,7,"The generated answer effectively uses a simple analogy to explain the leaders' priorities but lacks key points from the reference, such as the world's capacity to sustain a larger population and the issue of distribution.",Why do most world leaders appear unconcerned with world population increase? It seems like a potentially civilization en,"Imagine the world leaders are like the captains of big ships. They have to watch out for many things at once, not just o",11403
6,4,8,6,"The generated answer simplifies the concept of starvation mode and uses a good analogy, but lacks key points from the reference, such as the actual reduction in metabolism and the role of muscle mass loss, resulting in moderate scores across the evaluation criteria.","When we eat take in a substantially low number of calories in a day, our bodies go into ""starvation mode"", which causes ","When we don't eat enough, our bodies think food is scarce and go into 'starvation mode'. It's like a toy car that slows ",21088
8,6,9,7,"The generated answer is mostly correct, easy to understand, and uses good analogies, but lacks completeness in explaining the hormonal effects of alcohol on hydration.","Why is it that when you drink water your pee become clear and thats a sign that you're hydrated, but when you drink beer","When you drink water, it makes your pee clear like the water in a swimming pool. This shows you're all hydrated and happ",4195
6,4,8,6,"The generated answer is simple and easy to understand, but lacks key points from the reference, such as the challenges with generating and detecting Terahertz Radiation, and contains some inaccurate or misleading statements, like comparing it directly to touching a toy to determine its material.",How does Terahertz Radiation work?,Terahertz Radiation is like a special kind of light that can see through things! It bounces off things and tells us what,17350
8,6,9,8,"The generated answer provides a generally accurate and simple explanation, but lacks specific details and coverage of key points from the reference, such as the timeframe for different materials to disappear and the process of fossilization.","If all humans disappeared tomorrow, how long would it take before all evidence of the human race disappeared from the su","If all people went away, metals and plastics would still be here for a long, long time - maybe even a thousand years! Bo",25548
8,6,9,7,"The generated answer is mostly correct, easy to understand, and uses good analogies, but lacks completeness in covering key points from the reference, such as the role of tribalism and the feeling of power from treating others poorly.",Why can't everyone be nice to each other?,Sometimes people can't be nice to each other because they don't feel the same way we do. It's like when you share your t,8206
